Todo;Código postal;Municipio
25002 Àger;25002; Àger
36020 Agolada;36020; Agolada
50003 Agón;50003; Agón
26002 Agoncillo;26002; Agoncillo
03002 Agost;03002; Agost
25003 Agramunt;25003; Agramunt
42004 Ágreda;42004; Ágreda
03003 Agres;03003; Agres
18001 Agrón;18001; Agrón
41001 Aguadulce;41001; Aguadulce
50004 Aguarón;50004; Aguarón
09006 Aguas Cándidas;09006; Aguas Cándidas
47002 Aguasal;47002; Aguasal
44003 Aguatón;44003; Aguatón
44004 Aguaviva;44004; Aguaviva
13002 Agudo;13002; Agudo
22004 Agüero;22004; Agüero
40004 Aguilafuente;40004; Aguilafuente
09007 Aguilar de Bureba;09007; Aguilar de Bureba
34004 Aguilar de Campoo;34004; Aguilar de Campoo
47003 Aguilar de Campos;47003; Aguilar de Campos
31008 Aguilar de Codés;31008; Aguilar de Codés
14002 Aguilar de la Frontera;14002; Aguilar de la Frontera
08002 Aguilar de Segarra;08002; Aguilar de Segarra
44005 Aguilar del Alfambra;44005; Aguilar del Alfambra
26003 Aguilar del Río Alhama;26003; Aguilar del Río Alhama
30003 Águilas;30003; Águilas
50005 Aguilón;50005; Aguilón
35002 Agüimes;35002; Agüimes
17001 Agullana;17001; Agullana
46004 Agullent;46004; Agullent
38002 Agulo;38002; Agulo
01051 Agurain/Salvatierra;01051; Agurain/Salvatierra
10006 Ahigal;10006; Ahigal
37003 Ahigal de los Aceiteros;37003; Ahigal de los Aceiteros
37004 Ahigal de Villarino;37004; Ahigal de Villarino
06003 Ahillones;06003; Ahillones
20016 Aia;20016; Aia
31009 Aibar/Oibar;31009; Aibar/Oibar
46042 Aielo de Malferit;46042; Aielo de Malferit
46043 Aielo de Rugat;46043; Aielo de Rugat
08014 Aiguafreda;08014; Aiguafreda
43001 Aiguamúrcia;43001; Aiguamúrcia
17002 Aiguaviva;17002; Aiguaviva
03004 Aigües;03004; Aigües
12002 Aín;12002; Aín
22907 Aínsa-Sobrarbe;22907; Aínsa-Sobrarbe
50006 Ainzón;50006; Ainzón
22006 Aisa;22006; Aisa
25038 Aitona;25038; Aitona
20003 Aizarnazabal;20003; Aizarnazabal
28002 Ajalvir;28002; Ajalvir
26004 Ajamil de Cameros;26004; Ajamil de Cameros
48911 Ajangiz;48911; Ajangiz
45001 Ajofrín;45001; Ajofrín
44006 Alacón;44006; Alacón
50007 Aladrén;50007; Aladrén
47004 Alaejos;47004; Alaejos
50008 Alagón;50008; Alagón
10903 Alagón del Río;10903; Alagón del Río
07002 Alaior;07002; Alaior
21001 Alájar;21001; Alájar
38003 Alajeró;38003; Alajeró
29001 Alameda;29001; Alameda
37005 Alameda de Gardón, La;37005; Alameda de Gardón, La
45002 Alameda de la Sagra;45002; Alameda de la Sagra
28003 Alameda del Valle;28003; Alameda del Valle
18002 Alamedilla;18002; Alamedilla
37006 Alamedilla, La;37006; Alamedilla, La
13003 Alamillo;13003; Alamillo
19004 Alaminos;19004; Alaminos
28004 Álamo, El;28004; Álamo, El
25004 Alamús, Els;25004; Alamús, Els
06004 Alange;06004; Alange
41002 Alanís;41002; Alanís
46005 Alaquàs;46005; Alaquàs
34005 Alar del Rey;34005; Alar del Rey
37007 Alaraz;37007; Alaraz
50009 Alarba;50009; Alarba
16003 Alarcón;16003; Alarcón
19005 Alarilla;19005; Alarilla
07001 Alaró;07001; Alaró
25005 Alàs i Cerc;25005; Alàs i Cerc
02002 Alatoz;02002; Alatoz
44007 Alba;44007; Alba
34006 Alba de Cerrato;34006; Alba de Cerrato
37008 Alba de Tormes;37008; Alba de Tormes
37009 Alba de Yeltes;37009; Alba de Yeltes
02003 Albacete;02003; Albacete
25006 Albagés, L';25006; Albagés, L'
46006 Albaida;46006; Albaida
41003 Albaida del Aljarafe;41003; Albaida del Aljarafe
46007 Albal;46007; Albal
10007 Albalá;10007; Albalá
13004 Albaladejo;13004; Albaladejo
16004 Albaladejo del Cuende;16004; Albaladejo del Cuende
46008 Albalat de la Ribera;46008; Albalat de la Ribera
46009 Albalat dels Sorells;46009; Albalat dels Sorells
46010 Albalat dels Tarongers;46010; Albalat dels Tarongers
22007 Albalate de Cinca;22007; Albalate de Cinca
16005 Albalate de las Nogueras;16005; Albalate de las Nogueras
19006 Albalate de Zorita;19006; Albalate de Zorita
44008 Albalate del Arzobispo;44008; Albalate del Arzobispo
22008 Albalatillo;22008; Albalatillo
04004 Albanchez;04004; Albanchez
23001 Albanchez de Mágina;23001; Albanchez de Mágina
17003 Albanyà;17003; Albanyà
19007 Albares;19007; Albares
44009 Albarracín;44009; Albarracín
45003 Albarreal de Tajo;45003; Albarreal de Tajo
02004 Albatana;02004; Albatana
25007 Albatàrrec;25007; Albatàrrec
03005 Albatera;03005; Albatera
22009 Albelda;22009; Albelda
26005 Albelda de Iregua;26005; Albelda de Iregua
16006 Albendea;16006; Albendea
19008 Albendiego;19008; Albendiego
44010 Albentosa;44010; Albentosa
16007 Alberca de Záncara, La;16007; Alberca de Záncara, La
37010 Alberca, La;37010; Alberca, La
37011 Alberguería de Argañán, La;37011; Alberguería de Argañán, La
46011 Alberic;46011; Alberic
26006 Alberite;26006; Alberite
50010 Alberite de San Juan;50010; Alberite de San Juan
22011 Albero Alto;22011; Albero Alto
22012 Albero Bajo;22012; Albero Bajo
22013 Alberuela de Tubo;22013; Alberuela de Tubo
25008 Albesa;25008; Albesa
50011 Albeta;50011; Albeta
25009 Albi, L';25009; Albi, L'
09009 Albillos;09009; Albillos
43002 Albinyana;43002; Albinyana
43003 Albiol, L';43003; Albiol, L'
20004 Albiztur;20004; Albiztur
12003 Albocàsser;12003; Albocàsser
04005 Alboloduy;04005; Alboloduy
18003 Albolote;18003; Albolote
18004 Albondón;18004; Albondón
17004 Albons;17004; Albons
46012 Alborache;46012; Alborache
46013 Alboraia/Alboraya;46013; Alboraia/Alboraya
02005 Alborea;02005; Alborea
50012 Alborge;50012; Alborge
05005 Albornos;05005; Albornos
04006 Albox;04006; Albox
30004 Albudeite;30004; Albudeite
06005 Albuera, La;06005; Albuera, La
46014 Albuixech;46014; Albuixech
18005 Albuñán;18005; Albuñán
18006 Albuñol;18006; Albuñol
18007 Albuñuelas;18007; Albuñuelas
06006 Alburquerque;06006; Alburquerque
45004 Alcabón;45004; Alcabón
02006 Alcadozo;02006; Alcadozo
44011 Alcaine;44011; Alcaine
50013 Alcalá de Ebro;50013; Alcalá de Ebro
41004 Alcalá de Guadaíra;41004; Alcalá de Guadaíra
22014 Alcalá de Gurrea;22014; Alcalá de Gurrea
28005 Alcalá de Henares;28005; Alcalá de Henares
44012 Alcalá de la Selva;44012; Alcalá de la Selva
16008 Alcalá de la Vega;16008; Alcalá de la Vega
11001 Alcalá de los Gazules;11001; Alcalá de los Gazules
50014 Alcalá de Moncayo;50014; Alcalá de Moncayo
12004 Alcalà de Xivert;12004; Alcalà de Xivert
02007 Alcalá del Júcar;02007; Alcalá del Júcar
22015 Alcalá del Obispo;22015; Alcalá del Obispo
41005 Alcalá del Río;41005; Alcalá del Río
11002 Alcalá del Valle;11002; Alcalá del Valle
23002 Alcalá la Real;23002; Alcalá la Real
03006 Alcalalí;03006; Alcalalí
22016 Alcampell;22016; Alcampell
26007 Alcanadre;26007; Alcanadre
43004 Alcanar;43004; Alcanar
25010 Alcanó;25010; Alcanó
10008 Alcántara;10008; Alcántara
30005 Alcantarilla;30005; Alcantarilla
46016 Alcàntera de Xúquer;46016; Alcàntera de Xúquer
16009 Alcantud;16009; Alcantud
49003 Alcañices;49003; Alcañices
44013 Alcañiz;44013; Alcañiz
45005 Alcañizo;45005; Alcañizo
14003 Alcaracejos;14003; Alcaracejos
02008 Alcaraz;02008; Alcaraz
25011 Alcarràs;25011; Alcarràs
46015 Alcàsser;46015; Alcàsser
29002 Alcaucín;29002; Alcaucín
23003 Alcaudete;23003; Alcaudete
45006 Alcaudete de la Jara;45006; Alcaudete de la Jara
13005 Alcázar de San Juan;13005; Alcázar de San Juan
16010 Alcázar del Rey;16010; Alcázar del Rey
47005 Alcazarén;47005; Alcazarén
30902 Alcázares, Los;30902; Alcázares, Los
13006 Alcoba;13006; Alcoba
28006 Alcobendas;28006; Alcobendas
19009 Alcocer;19009; Alcocer
09010 Alcocero de Mola;09010; Alcocero de Mola
16011 Alcohujate;16011; Alcohujate
04007 Alcolea;04007; Alcolea
13007 Alcolea de Calatrava;13007; Alcolea de Calatrava
22017 Alcolea de Cinca;22017; Alcolea de Cinca
19010 Alcolea de las Peñas;19010; Alcolea de las Peñas
45007 Alcolea de Tajo;45007; Alcolea de Tajo
19011 Alcolea del Pinar;19011; Alcolea del Pinar
41006 Alcolea del Río;41006; Alcolea del Río
03008 Alcoleja;03008; Alcoleja
25012 Alcoletge;25012; Alcoletge
10009 Alcollarín;10009; Alcollarín
42006 Alconaba;42006; Alconaba
37012 Alconada;37012; Alconada
40005 Alconada de Maderuelo;40005; Alconada de Maderuelo
06007 Alconchel;06007; Alconchel
50015 Alconchel de Ariza;50015; Alconchel de Ariza
16012 Alconchel de la Estrella;16012; Alconchel de la Estrella
06008 Alconera;06008; Alconera
04008 Alcóntar;04008; Alcóntar
12005 Alcora, l';12005; Alcora, l'
28007 Alcorcón;28007; Alcorcón
44014 Alcorisa;44014; Alcorisa
19013 Alcoroches;19013; Alcoroches
03007 Alcosser;03007; Alcosser
43005 Alcover;43005; Alcover
03009 Alcoy/Alcoi;03009; Alcoy/Alcoi
22018 Alcubierre;22018; Alcubierre
42007 Alcubilla de Avellaneda;42007; Alcubilla de Avellaneda
42008 Alcubilla de las Peñas;42008; Alcubilla de las Peñas
49004 Alcubilla de Nogales;49004; Alcubilla de Nogales
13008 Alcubillas;13008; Alcubillas
46018 Alcublas;46018; Alcublas
07003 Alcúdia;07003; Alcúdia
46020 Alcúdia de Crespins, l';46020; Alcúdia de Crespins, l'
04009 Alcudia de Monteagud;04009; Alcudia de Monteagud
12006 Alcudia de Veo;12006; Alcudia de Veo
46019 Alcúdia, l';46019; Alcúdia, l'
10010 Alcuéscar;10010; Alcuéscar
46021 Aldaia;46021; Aldaia
47006 Aldea de San Miguel;47006; Aldea de San Miguel
35020 Aldea de San Nicolás, La;35020; Aldea de San Nicolás, La
10012 Aldea del Cano;10012; Aldea del Cano
28008 Aldea del Fresno;28008; Aldea del Fresno
37015 Aldea del Obispo;37015; Aldea del Obispo
10013 Aldea del Obispo, La;10013; Aldea del Obispo, La
13009 Aldea del Rey;13009; Aldea del Rey
45008 Aldea en Cabo;45008; Aldea en Cabo
43904 Aldea, L';43904; Aldea, L'
40012 Aldea Real;40012; Aldea Real
10011 Aldeacentenera;10011; Aldeacentenera
37013 Aldeacipreste;37013; Aldeacipreste
37014 Aldeadávila de la Ribera;37014; Aldeadávila de la Ribera
42009 Aldealafuente;42009; Aldealafuente
40006 Aldealcorvo;40006; Aldealcorvo
37016 Aldealengua;37016; Aldealengua
40007 Aldealengua de Pedraza;40007; Aldealengua de Pedraza
40008 Aldealengua de Santa María;40008; Aldealengua de Santa María
42010 Aldealices;42010; Aldealices
42011 Aldealpozo;42011; Aldealpozo
42012 Aldealseñor;42012; Aldealseñor
47007 Aldeamayor de San Martín;47007; Aldeamayor de San Martín
45009 Aldeanueva de Barbarroya;45009; Aldeanueva de Barbarroya
26008 Aldeanueva de Ebro;26008; Aldeanueva de Ebro
37017 Aldeanueva de Figueroa;37017; Aldeanueva de Figueroa
19015 Aldeanueva de Guadalajara;19015; Aldeanueva de Guadalajara
40009 Aldeanueva de la Serrezuela;40009; Aldeanueva de la Serrezuela
37018 Aldeanueva de la Sierra;37018; Aldeanueva de la Sierra
10014 Aldeanueva de la Vera;10014; Aldeanueva de la Vera
45010 Aldeanueva de San Bartolomé;45010; Aldeanueva de San Bartolomé
05007 Aldeanueva de Santa Cruz;05007; Aldeanueva de Santa Cruz
10015 Aldeanueva del Camino;10015; Aldeanueva del Camino
40010 Aldeanueva del Codonal;40010; Aldeanueva del Codonal
23004 Aldeaquemada;23004; Aldeaquemada
37019 Aldearrodrigo;37019; Aldearrodrigo
37020 Aldearrubia;37020; Aldearrubia
05008 Aldeaseca;05008; Aldeaseca
37021 Aldeaseca de Alba;37021; Aldeaseca de Alba
37022 Aldeaseca de la Frontera;37022; Aldeaseca de la Frontera
40013 Aldeasoña;40013; Aldeasoña
37023 Aldeatejada;37023; Aldeatejada
37024 Aldeavieja de Tormes;37024; Aldeavieja de Tormes
40014 Aldehorno;40014; Aldehorno
10016 Aldehuela de Jerte;10016; Aldehuela de Jerte
37025 Aldehuela de la Bóveda;37025; Aldehuela de la Bóveda
50016 Aldehuela de Liestos;50016; Aldehuela de Liestos
42013 Aldehuela de Periáñez;42013; Aldehuela de Periáñez
37026 Aldehuela de Yeltes;37026; Aldehuela de Yeltes
40015 Aldehuela del Codonal;40015; Aldehuela del Codonal
05010 Aldehuela, La;05010; Aldehuela, La
42014 Aldehuelas, Las;42014; Aldehuelas, Las
18010 Aldeire;18010; Aldeire
40016 Aldeonte;40016; Aldeonte
43006 Aldover;43006; Aldover
30006 Aledo;30006; Aledo
20005 Alegia;20005; Alegia
01001 Alegría-Dulantzi;01001; Alegría-Dulantzi
43007 Aleixar, L';43007; Aleixar, L'
08003 Alella;08003; Alella
42015 Alentisque;42015; Alentisque
22019 Alerre;22019; Alerre
26009 Alesanco;26009; Alesanco
26010 Alesón;26010; Alesón
18011 Alfacar;18011; Alfacar
46022 Alfafar;46022; Alfafar
03010 Alfafara;03010; Alfafara
50017 Alfajarín;50017; Alfajarín
44016 Alfambra;44016; Alfambra
50018 Alfamén;50018; Alfamén
22020 Alfántega;22020; Alfántega
43008 Alfara de Carles;43008; Alfara de Carles
46024 Alfara de la Baronia;46024; Alfara de la Baronia
46025 Alfara del Patriarca;46025; Alfara del Patriarca
49005 Alfaraz de Sayago;49005; Alfaraz de Sayago
29003 Alfarnate;29003; Alfarnate
29004 Alfarnatejo;29004; Alfarnatejo
26011 Alfaro;26011; Alfaro
46026 Alfarb;46026; Alfarb
25013 Alfarràs;25013; Alfarràs
46027 Alfarrasí;46027; Alfarrasí
03011 Alfàs del Pi, l';03011; Alfàs del Pi, l'
46023 Alfauir;46023; Alfauir
25014 Alfés;25014; Alfés
12007 Alfondeguilla;12007; Alfondeguilla
43009 Alforja;43009; Alforja
50019 Alforque;50019; Alforque
27002 Alfoz;27002; Alfoz
09011 Alfoz de Bricia;09011; Alfoz de Bricia
39001 Alfoz de Lloredo;39001; Alfoz de Lloredo
09907 Alfoz de Quintanadueñas;09907; Alfoz de Quintanadueñas
09012 Alfoz de Santa Gadea;09012; Alfoz de Santa Gadea
41007 Algaba, La;41007; Algaba, La
24002 Algadefe;24002; Algadefe
07004 Algaida;07004; Algaida
41008 Algámitas;41008; Algámitas
11003 Algar;11003; Algar
19016 Algar de Mesa;19016; Algar de Mesa
46028 Algar de Palància;46028; Algar de Palància
18012 Algarinejo;18012; Algarinejo
16013 Algarra;16013; Algarra
29005 Algarrobo;29005; Algarrobo
29006 Algatocín;29006; Algatocín
11004 Algeciras;11004; Algeciras
46029 Algemesí;46029; Algemesí
25015 Algerri;25015; Algerri
28009 Algete;28009; Algete
46030 Algímia d'Alfara;46030; Algímia d'Alfara
12008 Algimia de Almonacid;12008; Algimia de Almonacid
46031 Alginet;46031; Alginet
11005 Algodonales;11005; Algodonales
49006 Algodre;49006; Algodre
19017 Algora;19017; Algora
03012 Algorfa;03012; Algorfa
25016 Alguaire;25016; Alguaire
30007 Alguazas;30007; Alguazas
03013 Algueña;03013; Algueña
04010 Alhabia;04010; Alhabia
04011 Alhama de Almería;04011; Alhama de Almería
50020 Alhama de Aragón;50020; Alhama de Aragón
18013 Alhama de Granada;18013; Alhama de Granada
30008 Alhama de Murcia;30008; Alhama de Murcia
13010 Alhambra;13010; Alhambra
29007 Alhaurín de la Torre;29007; Alhaurín de la Torre
29008 Alhaurín el Grande;29008; Alhaurín el Grande
18014 Alhendín;18014; Alhendín
19018 Alhóndiga;19018; Alhóndiga
10017 Alía;10017; Alía
44017 Aliaga;44017; Aliaga
16014 Aliaguilla;16014; Aliaguilla
03014 Alicante/Alacant;03014; Alicante/Alacant
04012 Alicún;04012; Alicún
18015 Alicún de Ortega;18015; Alicún de Ortega
24003 Alija del Infantado;24003; Alija del Infantado
25017 Alins;25017; Alins
43010 Alió;43010; Alió
19019 Alique;19019; Alique
10018 Aliseda;10018; Aliseda
42016 Aliud;42016; Aliud
21002 Aljaraque;21002; Aljaraque
06009 Aljucén;06009; Aljucén
20006 Alkiza;20006; Alkiza
33001 Allande;33001; Allande
32001 Allariz;32001; Allariz
44021 Allepuz;44021; Allepuz
33002 Aller;33002; Aller
31011 Allín/Allin;31011; Allín/Allin
31012 Allo;31012; Allo
44022 Alloza;44022; Alloza
44023 Allueva;44023; Allueva
25019 Almacelles;25019; Almacelles
29009 Almáchar;29009; Almáchar
13011 Almadén;13011; Almadén
41009 Almadén de la Plata;41009; Almadén de la Plata
13012 Almadenejos;13012; Almadenejos
19020 Almadrones;19020; Almadrones
13013 Almagro;13013; Almagro
42017 Almajano;42017; Almajano
42018 Almaluez;42018; Almaluez
02009 Almansa;02009; Almansa
24004 Almanza;24004; Almanza
10019 Almaraz;10019; Almaraz
49007 Almaraz de Duero;49007; Almaraz de Duero
16015 Almarcha, La;16015; Almarcha, La
29010 Almargen;29010; Almargen
42019 Almarza;42019; Almarza
26012 Almarza de Cameros;26012; Almarza de Cameros
46032 Almàssera;46032; Almàssera
12009 Almassora;12009; Almassora
25020 Almatret;25020; Almatret
42020 Almazán;42020; Almazán
42021 Almazul;42021; Almazul
12010 Almedíjar;12010; Almedíjar
13014 Almedina;13014; Almedina
14004 Almedinilla;14004; Almedinilla
18016 Almegíjar;18016; Almegíjar
49008 Almeida de Sayago;49008; Almeida de Sayago
25021 Almenar;25021; Almenar
42022 Almenar de Soria;42022; Almenar de Soria
12011 Almenara;12011; Almenara
47008 Almenara de Adaja;47008; Almenara de Adaja
37027 Almenara de Tormes;37027; Almenara de Tormes
37028 Almendra;37028; Almendra
06010 Almendral;06010; Almendral
45011 Almendral de la Cañada;45011; Almendral de la Cañada
06011 Almendralejo;06011; Almendralejo
21003 Almendro, El;21003; Almendro, El
16016 Almendros;16016; Almendros
41010 Almensilla;41010; Almensilla
04013 Almería;04013; Almería
46033 Almiserà;46033; Almiserà
50021 Almochuel;50021; Almochuel
04014 Almócita;04014; Almócita
13015 Almodóvar del Campo;13015; Almodóvar del Campo
16017 Almodóvar del Pinar;16017; Almodóvar del Pinar
14005 Almodóvar del Río;14005; Almodóvar del Río
29011 Almogía;29011; Almogía
19021 Almoguera;19021; Almoguera
44018 Almohaja;44018; Almohaja
10020 Almoharín;10020; Almoharín
46034 Almoines;46034; Almoines
50022 Almolda, La;50022; Almolda, La
50023 Almonacid de la Cuba;50023; Almonacid de la Cuba
50024 Almonacid de la Sierra;50024; Almonacid de la Sierra
45012 Almonacid de Toledo;45012; Almonacid de Toledo
19022 Almonacid de Zorita;19022; Almonacid de Zorita
16018 Almonacid del Marquesado;16018; Almonacid del Marquesado
21004 Almonaster la Real;21004; Almonaster la Real
21005 Almonte;21005; Almonte
03015 Almoradí;03015; Almoradí
45013 Almorox;45013; Almorox
43011 Almoster;43011; Almoster
03016 Almudaina;03016; Almudaina
22021 Almudévar;22021; Almudévar
50025 Almunia de Doña Godina, La;50025; Almunia de Doña Godina, La
22022 Almunia de San Juan;22022; Almunia de San Juan
22023 Almuniente;22023; Almuniente
18017 Almuñécar;18017; Almuñécar
13016 Almuradiel;13016; Almuradiel
46035 Almussafes;46035; Almussafes
44019 Alobras;44019; Alobras
19023 Alocén;19023; Alocén
48912 Alonsotegi;48912; Alonsotegi
29012 Álora;29012; Álora
25022 Alòs de Balaguer;25022; Alòs de Balaguer
21006 Alosno;21006; Alosno
19024 Alovera;19024; Alovera
29013 Alozaina;29013; Alozaina
17006 Alp;17006; Alp
29014 Alpandeire;29014; Alpandeire
42023 Alpanseque;42023; Alpanseque
50026 Alpartir;50026; Alpartir
28010 Alpedrete;28010; Alpedrete
08004 Alpens;08004; Alpens
44020 Alpeñés;44020; Alpeñés
02010 Alpera;02010; Alpera
25023 Alpicat;25023; Alpicat
46036 Alpuente;46036; Alpuente
18904 Alpujarra de la Sierra;18904; Alpujarra de la Sierra
03017 Alqueria d'Asnar, l';03017; Alqueria d'Asnar, l'
46037 Alqueria de la Comtessa, l';46037; Alqueria de la Comtessa, l'
12901 Alqueries, les/Alquerías del Niño Perdido;12901; Alqueries, les/Alquerías del Niño Perdido
22024 Alquézar;22024; Alquézar
18018 Alquife;18018; Alquife
04015 Alsodux;04015; Alsodux
25024 Alt Àneu;25024; Alt Àneu
09013 Altable;09013; Altable
43012 Altafulla;43012; Altafulla
16019 Altarejos;16019; Altarejos
03018 Altea;03018; Altea
22025 Altorricón;22025; Altorricón
09014 Altos, Los;09014; Altos, Los
31010 Altsasu/Alsasua;31010; Altsasu/Alsasua
12012 Altura;12012; Altura
20906 Altzaga;20906; Altzaga
20007 Altzo;20007; Altzo
19027 Alustante;19027; Alustante
46017 Alzira;46017; Alzira
05012 Amavida;05012; Amavida
34009 Amayuelas de Arriba;34009; Amayuelas de Arriba
50027 Ambel;50027; Ambel
28011 Ambite;28011; Ambite
17007 Amer;17007; Amer
15002 Ames;15002; Ames
31013 Améscoa Baja;31013; Améscoa Baja
43013 Ametlla de Mar, L';43013; Ametlla de Mar, L'
08005 Ametlla del Vallès, L';08005; Ametlla del Vallès, L'
09016 Ameyugo;09016; Ameyugo
20008 Amezketa;20008; Amezketa
33003 Amieva;33003; Amieva
32002 Amoeiro;32002; Amoeiro
48003 Amorebieta-Etxano;48003; Amorebieta-Etxano
48004 Amoroto;48004; Amoroto
43906 Ampolla, L';43906; Ampolla, L'
43014 Amposta;43014; Amposta
34010 Ampudia;34010; Ampudia
39002 Ampuero;39002; Ampuero
01002 Amurrio;01002; Amurrio
34011 Amusco;34011; Amusco
47009 Amusquillo;47009; Amusquillo
44024 Anadón;44024; Anadón
40017 Anaya;40017; Anaya
37029 Anaya de Alba;37029; Anaya de Alba
28012 Anchuelo;28012; Anchuelo
13017 Anchuras;13017; Anchuras
31014 Ancín/Antzin;31014; Ancín/Antzin
49009 Andavías;49009; Andavías
46038 Andilla;46038; Andilla
20009 Andoain;20009; Andoain
44025 Andorra;44025; Andorra
31015 Andosilla;31015; Andosilla
07005 Andratx;07005; Andratx
23005 Andújar;23005; Andújar
50028 Anento;50028; Anento
17008 Anglès;17008; Anglès
25027 Anglesola;25027; Anglesola
19031 Angón;19031; Angón
26013 Anguciana;26013; Anguciana
22027 Angüés;22027; Angüés
26014 Anguiano;26014; Anguiano
19032 Anguita;19032; Anguita
09017 Anguix;09017; Anguix
39003 Anievas;39003; Anievas
50029 Aniñón;50029; Aniñón
46039 Anna;46039; Anna
20010 Anoeta;20010; Anoeta
19033 Anquela del Ducado;19033; Anquela del Ducado
19034 Anquela del Pedregal;19034; Anquela del Pedregal
22028 Ansó;22028; Ansó
31016 Ansoáin/Antsoain;31016; Ansoáin/Antsoain
04016 Antas;04016; Antas
27003 Antas de Ulla;27003; Antas de Ulla
46040 Antella;46040; Antella
29015 Antequera;29015; Antequera
35003 Antigua;35003; Antigua
24005 Antigua, La;24005; Antigua, La
34012 Antigüedad;34012; Antigüedad
22029 Antillón;22029; Antillón
20011 Antzuola;20011; Antzuola
31017 Anue;31017; Anue
01049 Añana;01049; Añana
40018 Añe;40018; Añe
50030 Añón de Moncayo;50030; Añón de Moncayo
14006 Añora;14006; Añora
31018 Añorbe;31018; Añorbe
45014 Añover de Tajo;45014; Añover de Tajo
37030 Añover de Tormes;37030; Añover de Tormes
31019 Aoiz/Agoitz;31019; Aoiz/Agoitz
37031 Arabayona de Mógica;37031; Arabayona de Mógica
21007 Aracena;21007; Aracena
38004 Arafo;38004; Arafo
22032 Aragüés del Puerto;22032; Aragüés del Puerto
41011 Arahal;41011; Arahal
40019 Arahuetes;40019; Arahuetes
31020 Araitz;31020; Araitz
48005 Arakaldo;48005; Arakaldo
31025 Arakil;31025; Arakil
20012 Arama;20012; Arama
01003 Aramaio;01003; Aramaio
31021 Aranarache/Aranaratxe;31021; Aranarache/Aranaratxe
42024 Arancón;42024; Arancón
09018 Aranda de Duero;09018; Aranda de Duero
50031 Aranda de Moncayo;50031; Aranda de Moncayo
50032 Arándiga;50032; Arándiga
09019 Arandilla;09019; Arandilla
16020 Arandilla del Arroyo;16020; Arandilla del Arroyo
15003 Aranga;15003; Aranga
31023 Aranguren;31023; Aranguren
28013 Aranjuez;28013; Aranjuez
31024 Arano;31024; Arano
31022 Arantza;31022; Arantza
48006 Arantzazu;48006; Arantzazu
19036 Aranzueque;19036; Aranzueque
12013 Arañuel;12013; Arañuel
37032 Arapiles;37032; Arapiles
31026 Aras;31026; Aras
46041 Aras de los Olmos;46041; Aras de los Olmos
09020 Arauzo de Miel;09020; Arauzo de Miel
09021 Arauzo de Salce;09021; Arauzo de Salce
09022 Arauzo de Torre;09022; Arauzo de Torre
19037 Arbancón;19037; Arbancón
25029 Arbeca;25029; Arbeca
19038 Arbeteta;19038; Arbeteta
31027 Arbizu;31027; Arbizu
36001 Arbo;36001; Arbo
